70,2009-12-01,300035,"89,150.57",30.44,0.06,"4,386.57",9.82,"11,439.16",25.60,"72,932.93",163.25,361.46,0.81,0.00,0.00
71,2009-12-01,300036,"144,625.74",49.83,0.10,"12,110.39",24.68,"12,854.62",26.21,"68,850.21",140.35,"22,590.29",46.05,"28,170.40",57.43
72,2009-12-01,300036,"74,239.16",60.42,0.12,"7,873.87",16.05,"12,390.71",25.26,"53,914.17",109.90,0.00,0.00,0.00,0.00
73,2010-01-01,300001,"105,346.11",30.18,0.03,"9,085.93",8.62,"9,903.61",9.40,"50,208.64",47.66,"18,105.24",17.19,"18,012.52",17.10
74,2010-01-01,300002,"382,756.04",17.35,0.00,642.66,0.17,"2,730.31",0.71,"127,108.90",33.21,"75,880.48",19.82,"176,376.34",46.08
75,2010-01-01,300003,"129,902.58",24.06,0.02,"7,991.87",6.15,"10,779.61",8.30,"54,767.22",42.16,"23,723.02",18.26,"32,616.81",25.11
76,2010-01-01,300004,"66,525.01",17.76,0.03,"4,995.77",7.51,"6,674.22",10.03,"31,749.40",47.73,"11,372.89",17.10,"11,714.97",17.61
77,2010-01-01,300005,"83,770.37",16.72,0.02,"6,371.58",7.61,"6,785.86",8.10,"34,186.34",40.81,"14,327.34",17.10,"22,082.53",26.36
78,2010-01-01,300006,"58,185.15",21.63,0.04,"5,024.90",8.64,"8,667.39",14.90,"27,781.88",47.75,"9,136.09",15.70,"7,553.27",12.98
79,2010-01-01,300007,"57,227.80",16.73,0.03,"5,488.22",9.59,"6,028.71",10.53,"28,104.67",49.11,"8,930.75",15.61,"8,658.72",15.13
80,2010-01-01,300008,"58,814.33",15.02,0.03,"3,067.86",5.22,"6,386.09",10.86,"26,897.85",45.73,"10,640.08",18.09,"11,807.43",20.08
81,2010-01-01,300009,"64,363.58",18.87,0.03,"5,635.41",8.76,"6,135.21",9.53,"30,624.53",47.58,"10,628.35",16.51,"11,321.20",17.59
82,2010-01-01,300010,"82,958.86",30.40,0.04,"6,658.73",8.03,"11,842.47",14.28,"39,037.91",47.06,"13,381.96",16.13,"12,007.39",14.47
83,2010-01-01,300011,"111,356.59",15.91,0.01,492.54,0.44,"12,299.98",11.05,"41,107.35",36.92,"24,979.78",22.43,"32,461.03",29.15
84,2010-01-01,300012,"74,726.02",18.58,0.02,"5,792.93",7.75,"6,756.39",9.04,"34,397.00",46.03,"12,096.57",16.19,"15,664.55",20.96
85,2010-01-01,300013,"49,126.19",19.59,0.04,"4,261.98",8.68,"7,720.01",15.71,"20,773.70",42.29,"8,380.06",17.06,"7,970.85",16.23
86,2010-01-01,300014,"72,985.38",17.95,0.02,"6,091.13",8.35,"7,855.04",10.76,"35,783.59",49.03,"11,325.88",15.52,"11,911.79",16.32
87,2010-01-01,300015,"96,778.79",16.72,0.02,"5,046.97",5.21,"8,140.07",8.41,"39,530.19",40.85,"17,912.76",18.51,"26,132.09",27.00
88,2010-01-01,300016,"41,979.96",14.83,0.04,"3,671.54",8.75,"5,860.19",13.96,"20,430.85",48.67,"6,233.99",14.85,"5,768.57",13.74
89,2010-01-01,300017,"108,152.93",21.48,0.02,"8,742.72",8.08,"10,050.12",9.29,"51,241.82",47.38,"18,688.64",17.28,"19,408.16",17.95
